Text,Label,Notes
Gonna buy a trench coat so that I can pretend to be two kids sneaking into an R rated movie,other,
Very cute and very hung - good morning!,appreciation,
Well fuck’em then!,rant,
I don’t even really eat McDonalds but I’m low key hyped to eat Saweetie’s meal how she eats it 😭😂,other,
"again, ready to get out to NYC on business… move forward.",other,
laughing on the outside \ncrying in the inside,rant,
Put on a bullet proof vest love ain’t easy that why I got love scares she left me bleeding 🩸,rant,
Dont ever show me kanye west on sunday when I’ve been drinking,rant,
tfw you wake up in dc but your phone wakes up 30 miles away in maryland 💀,other,
I like AEW but man a lot of the AEW fans I just want to break their fucking faces. Get Khan's pee pee outta your mouths already.,rant,
can’t take donte over brook ddv ass,other,
So cute!! 😂❤\n\nOUR FRIEND ARMAAN,appreciation,
That defence will always be weak!! Granted Gogic at fault at both BUT where was are our central defenders ??,rant,
people really support him?,other,
Hey Democrats:\n\n See the mess you voted for?!!!!,rant,
Well it kukuma help the real WC also the adults involve no get sense,rant,
"I'm leaving this out for anyone else to try, too!",other,
"Don't know why Dot speaks in subtitles but Yakko and Wakko are dubbed, I'm assuming he can't do a girl voice or he's too lazy.",other,
I’m not translating my soul. If you don’t understand we aren’t speaking the same language.,informative,
We need to move past these kind of tweets.,rant,
I Write Down Every Angel Number I See At Work Lmao,informative,
maybe i can get the priest to say happy bday mark,other,
Koichi has a sick ass Quirk.,appreciation,
All of God’s plans are perfect for me!,appreciation,
Radebe probably told Parker he can forget about corner kicks today,informative,
I wanna go to a real mom and pop nursery but Walmart $4 roses ruined that,rant,
obvio,other,
"Baker on me, I’ll let it sing, but it’s not Anita",other,
17:23 - Red Jet 6 has arrived at Southampton,informative,
🔍 for a better way to handle this time...,appreciation,
not my fav,other,
I want your dad in my room 😂🤭,other,
What kind of drugs did you do yesterday?,other,
My mind go to drifting,informative,
I feel like they say this every year,rant,
About rewatch it’s a sin why I honestly don’t know! 😭,rant,
Tomorrow's AP is going to be brilliant!,appreciation,
What in the chicken little,other,
just an observation 🤔,other,
Kaguya-sama love is war 😩😩,appreciation,
the best to ever mf do it !,appreciation,
i thank God that we both girls 🙏🏽 cuz the type of sex we be having we would’ve had 3 kids already,appreciation,
on god this ain’t gon be the future for myself or anyone else I care about,rant,
mommy issues 😍,appreciation,
my dad’s side of the family genes strong as shit. why do we all look alike 💀,other,
isn't this a completely normal thing to do,other,
"You, sweetheart, are my one and only.",appreciation,
Who is God? Fools don’t know.\nWho is the most High? Fools don’t know.,informative,
I need an anime watching partner,other,
I DID IT,appreciation,
they’re three days apart 😔😔,other,
6 MIN DE essence reaver kkkkkKkkkk,other,
My Uni ID card. I graduated decades ago,informative,
"If Neves leaves, then god knows where we finish. Bottom half side even with him in it.",informative,
"//You're really dedicated to this, huh?",other,
THEN DOES THAT MEAN YEONJUN SUCCEEDED ON REPAIRING THEIR FRIENDSHIP THAT IS IN SHAMBLES RN???,rant,
Take it back bbang. Chanhee is highkey offended rn. TAKE. IT BACK. !,rant,
Our Pastor really got them pipes. Why can he sing like that?,appreciation,
Amen 🙏,other,
and ion want your love you can keep it if it’s fake.,rant,
what's up with americans in general feeling like bronze or silver medals aren't worth celebrating wtf,rant,
online again hi :D gonna answer dms,informative,
Event #15 day 2 restart at 1pm \n👇 👀 Prizepool and Seating Chart below,informative,
"if theres a new chapter of jjk and bnha i need to read ASAP, anitwt doesn't play with spoilers bruh damn",other,
chess not checkers !,rant,
colonizer's gotta be my favorite Absurd Internet Insult™ lmaoooo,other,
STFU XCY YOU WILL NEVER DIE i forbid it,rant,
lmao its so funny to see these white girls just leaking oil all over the apartment complex. They prob have no idea,other,
yall bringing up a old interview 😂😂😂😂😂😂😂,other,
the liar ans his lover,other,
My hamster drew this about me,informative,
I miss my gym in Raleigh....,informative,
Quickest way to lose me as a friend is questioning my loyalty,informative,
i either read 2 books a month or 15 books theres no in-between,informative,
Loving yourself is easier said than done,rant,"This could be either rant or informative as this is more of a general statement making an informative claim, but the emotion/tone was stronger"
I will get back to my low weight,informative,
Just gonna leave this out there for a week. All views welcome. Genuine question.,informative,
Steve Cohen looking like a cheapass,rant,
Last???,other,
The brightest smile I've ever seen.,appreciation,
"this account loves and respect simone biles and everything that she does, if you dont focking unfollow me.",rant,
Aswe,other,
You can’t be mad at the world for your own personal reasons!,informative,
I really do not like Manchin. WV is my state neighbor and family Repubs there want these GOOD BILLS to pass!,informative,
honestly wish my job would fire me,rant,
amen 🙏🏼✨,appreciation,
Holy fucking smokes i got my money up,appreciation,
"Lost more people this year than any year in my life, my outlook on a lot of shit is different",rant,
I would like to apologize to all pokemon fans,other,
no because i was so embarrassed at church istg,other,
therapy is muting accs u don’t even follow,informative,
Also made me tear up a bit 🥲,other,
Good,other,
Thou shalt not be able to make a mistborn.,informative,
"Insulting your girl after breakup &amp; exposing her past infront of others ""YOU FAILED AS A MAN""",rant,
"• people really sit there &amp; say they don’t like a mf &amp; still be in the likes of every single one of that person pics, you love em sit down.",rant,
lol kangmin must be lurking on twt again to see how verrers lose their minds after his teaser dropped🤣,other,
Who tf gave numbers names ?,rant,
"Finally feel like I’m on the road to recovery 🥴 thrown up, slept for 2 hours and managed to do a roast dinner. Can’t wait for bed 😵‍💫",informative,
"Weirdo hockey player and his creepy wife didn’t know  when they met, they were just enemies about to make a very bad long term mistake!",rant,
im active when i feel like being active on here. sorry for the long ia sections. hahaha,informative,
Halloween is coming!!!,appreciation,
But I know that’s what’s finna happen,other,
"What, my first sexual experience was when I was like 11 🤷🏿‍♂️",informative,
oh it's mark's bd already sfdhb,other,
yeah I'm happy.\ncz i am.,appreciation,
I am not doing your mum at my house because i can  faggot,other,
Calvin Ramsay is an absolute star ⭐️,appreciation,
"Deflation Envious, Attorney at Law",informative,
po dong,other,
why is this acct still here. i'm tireddddd,rant,
Don’t get distracted by ‘illegal immigrants’ there are much more pressing matters to deal with!,rant,
"BRUUUUHHH, This song is amazing!!!",appreciation,
Hmm... Wow~ It seems like you've gotten 1cm taller! ♪,informative,
Forced myself to take the weekend off. Us freelancers will be out here working 8 days a week smh.,rant,
"Lover boy, sorry lover man 😅😂",other,
I AM HEALTHY \nI AM WEALTHY \nI AM THAT WOMAN🌷✨,appreciation,
"or, maybe, a generated badger",other,
"upset that someone came up with eco-anarchism first.\n\nwelcome to my treehouse. no members of society allowed, trees only.",informative,
"Don’t fall for radical world pressure, India should pragmatically make most out of one month UNSC president post!",informative,
LOL. Its camp,other,
Guess WHO jest singlem,informative,
Man am I glad Mavs got that capologist from the Nets cuz I know the previous guy would've 100% fumbled every opportunity.,informative,
I don't want to be here anymore.,rant,
Firs media,other,
Never thought Fred Durst would be the man to save 2021,informative,
Shark Tank*,other,
"As a man, why do you have a ring light???",rant,
NEO TWEWY RAW IM SHAKING,other,
my twitter keeps on glitching idk if things are even sending :/,rant,
Do visit Jharkhand once. There are many unexplored places that would blow your mind.,informative,
"brian taking a chance on the love, i can't i just can't",appreciation,
Paul Rudd tho 😍😍,appreciation,
I miss my dad so much 🥺,appreciation,
I lowkey want to go the last day of Lolla just because they canceled Dababy 👏🏾,other,
"Queendom isn't mnet, queendom is red velvet😍",appreciation,
Literally 🤦🏾‍♀️,other,
If you ain’t messaging to serve Ne? We ain’t got nuthin’ to talk about 😂,rant,
Having a little bit extra vinegar today 😭,rant,
NA MORAL MERMO ?????\n\nThe Lazy Song - Bruno Mars,informative,
Get well champ you did the hard way today,appreciation,
"I can't groove with people who wants to go home just because the party is over, let's go to Ruiru or something😭😭🥵",rant,
"😂😂 yes sheep, keep following your leaders blindly.",rant,
SALT AIR,other,
Idk why but i feel like these guys can really make an impact on this team,rant,
7th phase primary notification,informative,
"Where did you get this from Margie?\n\nAlso, leaf blowers are weapons? Good to know.",rant,
the bf slander.. and i enjoy that song and mv till this day so WHAT 💆‍♀️💆‍♀️,other,
good morning/afternoon becazue im havent been on twitter,informative,
thank you so much 😍😎💕,appreciation,
"I love this Maria die, she's up for the money on a 100., She's gives me the content I want.",other,
jaemin boring (booked)❌,other,
FACTS,other,
And rowing has gone down the plughole.,rant,
wtf is soop,rant,
Every time I think they can’t sink lower,rant,
"From the Trailer, I can see many special place and likely to have a similar event as Travis Scott concert",informative,
I say this a lot when people ask how to calculate budgets,informative,
Morning swim,other,
You should have been the captain Jackson,other,
goodmorning,other,
But fair play to Lewis. To claw your way up to third from last. That is the testament of a champion. What a star,informative,
I literally hate Ohio so much,rant,
things happen for a reason i’m so happy for her,appreciation,
happy one month of young royals release day &lt;33,informative,
Meanwhile Ramos asked for a wage increase lmao,informative,
The pic in the back 🤣 what a fuckin loser,other,
"🐋📈【Buy】 BTC-PERP\nQty：$1,634,800（40 BTC）🐳🐳🐳\nPrice：$40,870\n[16:23:58 UTC] on FTX",informative,
Anyone for Warzone?,other,
LLOOOOLLLLLLLLL,other,
I WANT YOU TO PUT ME OUT. 🥴 I WANT YOU TO DO IT 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂💯,other,
I had a dream that I went back to work at the Sonic in Reno last night after graduation 💀,other,
yo con leeknow,other,
idk bc king is second in command and i feel like he might be mad foldable,informative,
damn it's everyone's birthday today,informative,
"These people are going all to Rio Grande, after pass the Darien Gap.",informative,
Nah he's the sweetest I'm joking,appreciation,
I’m getting out just in time bc these ants finally made their way to my apartment.,appreciation,
I’m already Pluto ruled if I was a Scorpio I think I’d just be a shadow atp,other,
Please 🤞❤️‍🔥💜🔥,other,
me when taylor swift breathes,appreciation,
I’ve been so down lately that I had to get myself together today. Getting dressed and doing my hair makes me feel better on the inside.,other,
August slipped away into a moment in time 'cause it was never mine,informative,
Smirks over at the reader. \n\n“ I love a man who can be in control..”,appreciation,
It’s the hope that kills you 🤞🏻🤞🏻🤞🏻,informative,
Shrimp grits and salmon 😋😋🤤🤤,appreciation,
Mexico president AMLO - No 1 target of global elite \n\nEconomist more critical of Mexican president than Modi /Orban,informative,
Truly,other,
GTFO BITCH,rant,
Wow. At least they get a compensation pick....,rant,
Can’t stop laughing 😂,other,
lmao it’s girlfriend day?,informative,"Could have been a rant where ""lmao"" was more of a sarcastic addition to the tweet, but it provided more information about the day than give a clear tone distinction"
Uh-Unless my eyes are screwy...,other,
Oh hell nah I’ll kill myself if I get piece controlled by sakura,rant,
"The 2nd time ain’t nothing like the 1st, you gotta make it count.",appreciation,
"stop wasting your teenage years trying to find love, have fun 💫",informative,
You know them hoes be at my shows... grabbin where my chain go,other,
🤣🤣🤣 what sammy means to say is…I’m his only Love and he is not interested in any other…capishe,other,
Devi Shridhar hates this country.,informative,
Sick&amp;tea..,other,
seungmin's braces look so cute AAAAA,appreciation,
Bitter too much 🥵🥵🥵,other,
